Name: Alejandro, Surname: Valverde, Age: 28
Name: Jorge, Surname: Arcas, Age: 24
Name: Jose, Surname: JoaquinRojas, Age: 35
Name: Imanol, Surname: Erviti, Age: 28
Name: Nelson, Surname: Oliveira, Age: 18
Name: Antonio, Surname: Pedrero, Age: 30
Name: Nairo, Surname: Quintana, Age: 18
Name: Marc, Surname: Soler, Age: 26
Name: Pierre, Surname: Latour, Age: 31
Name: Francois, Surname: Bidard, Age: 26
Name: Geoffrey, Surname: Bouchard, Age: 21
Name: Clement, Surname: Chevrier, Age: 27
Name: Silvan, Surname: Dillier, Age: 24
Name: Dorian, Surname: Godon, Age: 33
Name: Quentin, Surname: Jauregui, Age: 20
Name: Clement, Surname: Venturini, Age: 30
Name: Miguel Angel, Surname: Lopez, Age: 25
Name: Manuele, Surname: Boaro, Age: 19
Name: Dario, Surname: Cataldo, Age: 34
Name: Omar, Surname: Fraile, Age: 28
Name: Jakob, Surname: Fuglsang, Age: 20
Name: Gorka, Surname: Izagirre, Age: 18
Name: Ion, Surname: Izagirre, Age: 32
Name: Luis, Surname: Leon Sanchez, Age: 18
Name: Mark, Surname: Padun, Age: 22
Name: Yukiya, Surname: Arashiro, Age: 23
Name: Phil, Surname: Bauhaus, Age: 30
Name: Heinrich, Surname: Haussler, Age: 24
Name: Domen, Surname: Novak, Age: 23
Name: Hermann, Surname: Pernsteiner, Age: 24
Name: Luka, Surname: Pibernik, Age: 26
Name: Dylan, Surname: Teuns, Age: 21
Name: Rafal, Surname: Majka, Age: 26
Name: Shane, Surname: Archbold, Age: 26
Name: Sam, Surname: Bennett, Age: 35
Name: Jean Pierre, Surname: Drucker, Age: 20
Name: Davide, Surname: Formolo, Age: 24
Name: Felix, Surname: GroBschartner, Age: 30
Name: Gregor, Surname: Muhlberger, Age: 19
Name: Pawel, Surname: Poljanski, Age: 26
Name: Victor, Surname: de la Parte, Age: 18
Name: William, Surname: Barta, Age: 18
Name: Pawel, Surname: Bernas, Age: 30
Name: Patrick, Surname: Bevin, Age: 20
